Username: Nisha, Subject: Chemistry, Chapter: Inorganic, Marks: 83
Username: Arnav, Subject: Physics, Chapter: Thermodynamics, Marks: 77
Username: user3, Subject: Physics, Chapter: Thermodynamics, Marks: 53
Username: Advika, Subject: Chemistry, Chapter: Organic, Marks: 95
Username: Yash, Subject: Physics, Chapter: Mechanics, Marks: 77
Username: Aarav, Subject: Math, Chapter: Trigonometry, Marks: 41
Username: Dia, Subject: Physics, Chapter: Thermodynamics, Marks: 73
Username: Ira, Subject: Physics, Chapter: Mechanics, Marks: 24
Username: Zara, Subject: Physics, Chapter: Thermodynamics, Marks: 23
Username: Saanvi, Subject: Physics, Chapter: Optics, Marks: 23
Username: Avni, Subject: Math, Chapter: Geometry, Marks: 43
Username: Rohan, Subject: Physics, Chapter: Mechanics, Marks: 70
Username: Karan, Subject: Physics, Chapter: Mechanics, Marks: 89
Username: Krishna, Subject: Chemistry, Chapter: Inorganic, Marks: 56
Username: Om, Subject: Math, Chapter: Algebra, Marks: 37
Username: Rohan2, Subject: Math, Chapter: Geometry, Marks: 54
Username: Saanvi2, Subject: Chemistry, Chapter: Inorganic, Marks: 9
Username: Aarav2, Subject: Chemistry, Chapter: Inorganic, Marks: 45
Username: Tara, Subject: Chemistry, Chapter: Organic, Marks: 86
Username: Moksh, Subject: Chemistry, Chapter: Organic, Marks: 30
Username: Avni2, Subject: Physics, Chapter: Thermodynamics, Marks: 93
Username: Ishanvi, Subject: Math, Chapter: Trigonometry, Marks: 5
Username: Riya, Subject: Physics, Chapter: Mechanics, Marks: 89
Username: Aditi, Subject: Chemistry, Chapter: Physical, Marks: 47
Username: Zara3, Subject: Math, Chapter: Algebra, Marks: 14
Username: Zara2, Subject: Math, Chapter: Geometry, Marks: 36
Username: Laksh, Subject: Physics, Chapter: Mechanics, Marks: 29
Username: Neel, Subject: Physics, Chapter: Optics, Marks: 4
Username: Neel2, Subject: Physics, Chapter: Thermodynamics, Marks: 24
Username: Arjun, Subject: Physics, Chapter: Mechanics, Marks: 62
Username: Kavya, Subject: Math, Chapter: Geometry, Marks: 92
Username: Kavya, Subject: Chemistry, Chapter: Inorganic, Marks: 59
Username: Pari, Subject: Physics, Chapter: Optics, Marks: 65
Username: Pranav, Subject: Chemistry, Chapter: Physical, Marks: 82
Username: Kabir, Subject: Chemistry, Chapter: Organic, Marks: 3
Username: Ishaan, Subject: Math, Chapter: Trigonometry, Marks: 84
Username: Avni3, Subject: Physics, Chapter: Optics, Marks: 34
Username: Dia2, Subject: Physics, Chapter: Thermodynamics, Marks: 99
Username: Ira2, Subject: Physics, Chapter: Optics, Marks: 46
Username: Rhea, Subject: Chemistry, Chapter: Inorganic, Marks: 4
Username: Neel3, Subject: Chemistry, Chapter: Inorganic, Marks: 69
